         2957751 function calls (2957677 primitive calls) in 7.699 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1133(find_spec)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:816(get_data)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1101(_get_spec)
        7    0.001    0.000    0.001    0.000 {method 'close' of '_io.TextIOWrapper' objects}
     3074    0.001    0.000    0.001    0.000 /home/hcui7/repos/andes_github/andes/utils/math.py:28(<lambda>)
      881    0.001    0.000    0.001    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1215(find_spec)
     1282    0.001    0.000    0.001    0.000 /home/hcui7/repos/andes_github/andes/models/zone.py:121(<listcomp>)
     1535    0.001    0.000    0.001    0.000 /home/hcui7/repos/andes_github/andes/models/vsc.py:701(pll_gycall)
        1    0.000    0.000    0.001    0.001 /home/hcui7/repos/andes_github/andes/routines/powerflow.py:202(post_processing)
        1    0.000    0.000    0.001    0.001 /home/hcui7/repos/andes_github/andes/variables/call.py:209(_compile_int)
       21    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:419(_validate_bytecode_header)
        4    0.000    0.000    0.001    0.000 /home/hcui7/repos/andes_github/andes/models/fault.py:60(check_time)
     3076    0.001    0.000    0.001    0.000 /home/hcui7/repos/andes_github/andes/utils/math.py:21(<lambda>)
        8    0.001    0.000    0.001    0.000 {method 'readlines' of '_io._IOBase' objects}
        1    0.000    0.000    0.001    0.001 /home/hcui7/repos/andes_github/andes/filters/__init__.py:18(guess)
       21    0.001    0.000    0.001    0.000 {method 'read' of '_io.FileIO' objects}
        5    0.000    0.000    0.001    0.000 /usr/lib/python3.5/re.py:222(compile)
        5    0.000    0.000    0.001    0.000 /usr/lib/python3.5/re.py:278(_compile)
       19    0.000    0.000    0.001    0.000 /home/hcui7/repos/andes_github/andes/models/base.py:421(setup)
       44    0.001    0.000    0.001    0.000 /home/hcui7/repos/andes_github/andes/models/base.py:117(_inst_meta)
     1282    0.001    0.000    0.001    0.000 /home/hcui7/repos/andes_github/andes/models/zone.py:133(<listcomp>)
        5    0.000    0.000    0.001    0.000 /usr/lib/python3.5/sre_compile.py:531(compile)
     1950    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
